Plant_ID,Stack_ID,Plant_Name,Plant_Location,State,Stack_Height_m,Capacity_MW,Fuel_Type,Commission_Year,Status
PL-01,STK-001-A,North Thermal Plant,Delhi,Delhi,210,500,Coal,2012,Active
PL-02,STK-002-A,South Power Station,Chennai,Tamil Nadu,220,600,Coal,2015,Active
PL-03,STK-003-A,Western Energy Plant,Mumbai,Maharashtra,200,450,Gas,2018,Active
PL-04,STK-004-A,Eastern Thermal Plant,Kolkata,West Bengal,230,550,Coal,2010,Active
PL-05,STK-005-A,Central Energy Station,Nagpur,Maharashtra,215,480,Coal,2014,Active
PL-06,STK-006-A,Delta Power Plant,Hyderabad,Telangana,205,520,Gas,2016,Active
PL-07,STK-007-A,Riverbank Thermal Plant,Ahmedabad,Gujarat,225,610,Coal,2013,Active
PL-08,STK-008-A,Greenfield Energy Plant,Pune,Maharashtra,210,470,Coal,2017,Active
PL-09,STK-009-A,Coastal Power Station,Visakhapatnam,Andhra Pradesh,240,650,Coal,2011,Active
PL-10,STK-010-A,Highland Thermal Plant,Bhopal,Madhya Pradesh,200,430,Gas,2019,Active
PL-11,STK-011-A,Metro Energy Plant,Bengaluru,Karnataka,215,500,Coal,2012,Active
PL-12,STK-012-A,Sunrise Power Plant,Jaipur,Rajasthan,210,520,Coal,2016,Active
PL-13,STK-013-A,Sunset Thermal Plant,Lucknow,Uttar Pradesh,220,540,Coal,2014,Active
PL-14,STK-014-A,Valley Energy Station,Patna,Bihar,205,460,Gas,2018,Active
PL-15,STK-015-A,Lakeside Power Plant,Ranchi,Jharkhand,210,480,Coal,2015,Active
PL-16,STK-016-A,Mountain Thermal Plant,Raipur,Chhattisgarh,230,620,Coal,2013,Active
PL-17,STK-017-A,Prairie Energy Plant,Surat,Gujarat,200,450,Gas,2019,Active
PL-18,STK-018-A,Urban Power Station,Indore,Madhya Pradesh,210,490,Coal,2017,Active
PL-19,STK-019-A,Industrial Thermal Plant,Jamshedpur,Jharkhand,220,510,Coal,2016,Active
PL-20,STK-020-A,Harbor Energy Plant,Kochi,Kerala,205,470,Gas,2018,Active
PL-21,STK-021-A,Frontier Power Plant,Chandigarh,Chandigarh,215,530,Coal,2014,Active
PL-22,STK-022-A,Legacy Thermal Station,Noida,Uttar Pradesh,225,560,Coal,2011,Active
PL-23,STK-023-A,Galaxy Energy Plant,Gurgaon,Haryana,210,500,Gas,2020,Active
PL-24,STK-024-A,Orion Power Plant,Varanasi,Uttar Pradesh,220,520,Coal,2015,Active
PL-25,STK-025-A,Zenith Thermal Plant,Kanpur,Uttar Pradesh,230,600,Coal,2012,Active
